0,300000	1,010000	1
1,290000	1,700000	2
1,850000	2,510000	4
2,610000	3,060000	5
3,170000	4,310000	6
4,320000	5,360000	7
5,450000	6,490000	8
6,490000	6,850000	9
7,000000	7,350000	10
7,510000	7,980000	11
8,620000	9,210000	12
9,390000	9,820000	13
9,910000	12,710000	14
13,160000	13,860000	15
14,150000	14,600000	16
15,140000	15,760000	17
16,080000	16,670000	18
16,890000	17,680000	19
17,640000	18,310000	20
18,610000	19,780000	21
19,950000	20,670000	22
20,920000	21,570000	24
21,770000	25,010000	25
25,130000	25,750000	27
25,770000	25,930000	28
26,020000	27,450000	29
